about,address,email,facebook,friday_dinner,friday_lunch,friday_tables,instagram,mon_thu_dinner,mon_thu_lunch,mon_thu_tables,name,pdf_urls,phone,saturday_dinner,saturday_lunch,saturday_tables,slug,sunday_dinner,sunday_lunch,sunday_tables,url,videos,website
"CHIJMES Hall Singapore CHIJMES was originally known as the Convent of the Holy Infant Jesus (CHIJ), a premier girls' school established in 1854 by an order of French Catholic nuns. The chapel, now a multi-purpose hall, is known as CHIJMES Hall is a perfect venue for weddings. The Chapel was gazette as a national monument on 26 October 1990. The glass panels depict scenes from the Bible as well as the 12 apostles. Below a cross-vaulted ceiling, the floor of the chapel is laid with multi-coloured terrazzo tiles. The chapel also features magnificent chandeliers, integrated AV equipment with sophisticated AV system, wall-mounted plasma TV, Wi-Fi System with natural skylight is perfect to comfortably accommodate up to 300 guests for a sit-down banquet. Watabe Wedding Group started in 1953 and has grown into one of the world's leading bridal company, offering a wide range of domestic and international wedding services in Japan, Guam, Hawaii, Bali, Hong Kong, Taiwan, Europe and Singapore. Wat",30 Victoria Street #01-28 (Chijmes Hall) CHIJMES,chijmes@watabe-wedding.com.sg,https://www.facebook.com/chijmeshallsg/,$2156–$2551,$2156–$2551,12–30,https://www.instagram.com/chijmes_hall/,$2036–$2551,$2036–$2551,12–30,CHIJMES Hall Singapore,"[""https://singaporebrides.com/d/system/documents/contents/000/000/567/original/Wedding_Kit_2024.pdf?1718179061""]",6336 5320,$2396–$2671,$2396–$2671,16–30,chijmes-hall-singapore,$2276–$2551,$2276–$2551,16–30,https://singaporebrides.com/d/chijmes-hall-singapore/,,http://www.watabe-wedding.com.sg
"C hui Huay Lim is the perfect blend of nostalgia and elegance, a hidden gem in the heart of Newton. This spacious venue boasts impressive private function halls and ballrooms that include a stage, giant LED screen panels and the latest audio-visual technology. These versatile spaces can accommodate from 100 to 400 guests, making them ideal for a grand or an intimate wedding. At Chui Huay Lim Teochew Cuisine, our culinary team will be serving up the very best of authentic, traditional Teochew dishes: delicate, light and heart-warming, using only the freshest ingredients and purest methods of preparation. With it’s timeless allure and modern amenities, we present you the perfect venue for wedding couples desiring a sumptuous menu and the finest culinary offerings. Capacity: 50 - 600 Pax","190 Keng Lee Rd, #01-03 Chui Huay Lim Club",events@jumbogroup.com.sg,,$1198–$2157,$1198–$2157,10–40,,$1198–$2157,$1198–$2157,10–40,Chui Huay Lim Teochew Cuisine,"[""https://singaporebrides.com/d/system/documents/contents/000/000/466/original/Wedding_Brochure_2025-2026.pdf?1746493757"", ""https://singaporebrides.com/d/system/documents/contents/000/001/561/original/Solemnisation_Brochure_2025_-_2026.pdf?1746493780""]",6265 8121,$1198–$2157,$1198–$2157,10–40,chui-huay-lim-teochew-cuisine,$1198–$2157,$1198–$2157,10–40,https://singaporebrides.com/d/chui-huay-lim-teochew-cuisine/,,
"M ake your once in a lifetime experience a truly memorable one at Concorde Hotel Singapore. Whether you want a spectacular event or an intimate affair, our Grand Ballroom will allow you to have a romantic and customised wedding that won’t cost a fortune. Conveniently located between Dhoby Ghaut and Somerset MRT stations, the hotel is home to a team of dedicated and experienced wedding planners who will endeavour to make your dream of a perfect wedding a reality. Capable of hosting up to 44 tables, the Concorde Ballroom offers a unique pillar-less high ceiling that is sure to enhance your special event. Capacity: 200 - 440 Pax To learn more about our wedding packages or to customise your own, please contact our dedicated wedding planners at +65 6739 8355 or WhatsApp +65 9745 3926. Alternatively, you can also email us at [email&#160;protected] .",100 Orchard Road,cateringsales.chs@concorde.net,https://www.facebook.com/concordehotelsingapore,$1916–$1916,$1676–$1676,8–44,,$1916–$1916,$1676–$1676,8–44,Concorde Hotel Singapore,"[""https://singaporebrides.com/d/system/documents/contents/000/001/343/original/2026___2027_Wedding_Lunch_Package_%283%29.pdf?1768791934"", ""https://singaporebrides.com/d/system/documents/contents/000/001/344/original/2026___2027_Wedding_Dinner_Package.pdf?1767582632""]",6739 8356,$1916–$1916,$1676–$1676,8–44,concorde-hotel-singapore,$1916–$1916,$1676–$1676,8–44,https://singaporebrides.com/d/concorde-hotel-singapore/,,https://singapore.concordehotelsresorts.com/meetings-weddings/
"P lan your perfect wedding at the Conrad Singapore Marina Bay. From exclusive wedding themes to the finest cuisine, your dream wedding will become a reality as the hotel's expert team provides a truly inclusive and personal service from start to finish. Offering various venue options to cater to different needs, customise the space to suit your wedding style. Explore the grandeur of the Pavilion- a unique glass junior ballroom by the pool which can host up to 150 guests. It is the ideal venue for a romantic sunset ceremony. Hold lavish banquets for up to 408 guests amidst the grandeur of the pillarless ballroom, adorned with Italian chandeliers or choose from one of the smaller individually decorated salons for an intimate reception. Renowned for innovative culinary excellence, Conrad Singapore Marina Bay offers a wide selection of dining arrangements and menus. Our wedding packages are thoughtfully designed with a host of added privileges, allowing couples to personalise every detail ",2 Temasek Boulevard,sinci.weddings@conradhotels.com,https://www.facebook.com/conradcentennialsingapore/reviews/,$2791–$3151,$2671–$2911,11–40,https://www.instagram.com/conradcentennialsingapore/,$2791–$3151,$2671–$2911,11–40,Conrad Singapore Marina Bay,"[""https://singaporebrides.com/d/system/documents/contents/000/001/614/original/CSMB_Grand_Ballroom_Packages_%28Jul_2026_-_Jun_2027%29.pdf?1760579049"", ""https://singaporebrides.com/d/system/documents/contents/000/001/615/original/CSMB_The_Pavilion_Packages_%28Jul_2026_-_Jun_2027%29.pdf?1760579123""]",+65 6432 7159/7166,$3151–$3391,$2671–$2911,11–40,conrad-singapore-marina-bay,$2791–$3151,$2671–$2911,11–40,https://singaporebrides.com/d/conrad-singapore-marina-bay/,"[""https://youtu.be/beQzdzhFMR0""]",https://www.hilton.com/en/hotels/sincici-conrad-singapore-marina-bay/weddings/
"R omance Inspired by You. Discover our sophisticated urban oasis crafted for memorable Conrad Weddings—a poetic ode to your love story. From the iconic John Portman-designed atrium, providing a stunning architectural backdrop for your grand arrival, to the refreshed stylish venues, unmatched service, and exquisite catering that is purposefully tailored to bring your dream wedding to life. Whether you envision an opulent banquet that sparkles or an intimate luncheon exuding understated elegance, our Conrad Weddings team, in collaboration with our hospitality experts, delivers intuitive, purposeful service for which Conrad is renowned. Our culinary maestros from the Michelin-starred Summer Palace stand ready to pamper your guests with fine Cantonese cuisine. We look forward to hosting this momentous occasion in your life and are excited to embark on the journey of creating a personalised wedding that truly represents you as a new couple—one that speaks to your style, personality, and uni",1 Cuscaden Road,sinod.events@conradhotels.com,https://www.facebook.com/conradsingaporeorchard,$2384–$3103,$2324–$3103,10–50,https://www.instagram.com/conradsingaporeorchard/,$2384–$3103,$2324–$3103,10–50,Conrad Singapore Orchard,"[""https://singaporebrides.com/d/system/documents/contents/000/001/529/original/01._CSO_RPB_Wedding_Lunch_Package_2026_15122025.pdf?1766372224"", ""https://singaporebrides.com/d/system/documents/contents/000/001/530/original/02._CSO_RPB_Wedding_Dinner_Package_2026_15122025.pdf?1766372236"", ""https://singaporebrides.com/d/system/documents/contents/000/001/531/original/03._CSO_TGN_Wedding_Lunch_Package_2026_15122025.pdf?1766372253"", ""https://singaporebrides.com/d/system/documents/contents/000/001/532/original/04._CSO_TGN_Wedding_Dinner_Package_2026_15122025.pdf?1766372270"", ""https://singaporebrides.com/d/system/documents/contents/000/001/612/original/05._CSO_NSM_Wedding_Lunch_Package_2026_15122025.pdf?1766372288"", ""https://singaporebrides.com/d/system/documents/contents/000/001/613/original/06._CSO_NSM_Wedding_Dinner_Package_2026_15122025.pdf?1766372298"", ""https://singaporebrides.com/d/system/documents/contents/000/001/533/original/07._CSO_PTS_Wedding_Lunch_Package_2026_15122025.pdf?1766372311"", ""https://singaporebrides.com/d/system/documents/contents/000/001/534/original/08._CSO_PTS_Wedding_Dinner_Package_2026_15122025.pdf?1766372328"", ""https://singaporebrides.com/d/system/documents/contents/000/001/583/original/09._CSO_Cuscaden_Wedding_Package_2026_160625.pdf?1766372352"", ""https://singaporebrides.com/d/system/documents/contents/000/001/537/original/10._Promotion_Wedding_Package_2026_021125.pdf?1766372369"", ""https://singaporebrides.com/d/system/documents/contents/000/001/535/original/11._CSO_Italian_Wedding_Package_2026_300725.pdf?1766372382"", ""https://singaporebrides.com/d/system/documents/contents/000/001/536/original/12._CSO_Indian_Wedding_Package_2026_300725.pdf?1766372390"", ""https://singaporebrides.com/d/system/documents/contents/000/001/672/original/07._CSO_RPB_Wedding_Lunch_Package_2027_16022026.pdf?1772180458"", ""https://singaporebrides.com/d/system/documents/contents/000/001/673/original/08._CSO_RPB_Wedding_Dinner_Package_2027_16022026.pdf?1772180483"", ""https://singaporebrides.com/d/system/documents/contents/000/001/670/original/05._CSO_TGN_Wedding_Lunch_Package_2027_16022026.pdf?1772180418"", ""https://singaporebrides.com/d/system/documents/contents/000/001/671/original/06._CSO_TGN_Wedding_Dinner_Package_2027_16022026.pdf?1772180438"", ""https://singaporebrides.com/d/system/documents/contents/000/001/668/original/03._CSO_NSM_Wedding_Lunch_Package_2027_16022026.pdf?1772180375"", ""https://singaporebrides.com/d/system/documents/contents/000/001/669/original/04._CSO_NSM_Wedding_Dinner_Package_2027_16022026.pdf?1772180393"", ""https://singaporebrides.com/d/system/documents/contents/000/001/666/original/01._CSO_PTS_Wedding_Lunch_Package_2027_16022026.pdf?1772180319"", ""https://singaporebrides.com/d/system/documents/contents/000/001/667/original/02._CSO_PTS_Wedding_Dinner_Package_2027_16022026.pdf?1772180334"", ""https://singaporebrides.com/d/system/documents/contents/000/001/674/original/09._CSO_Cuscaden_Wedding_Package_2026_25022027.pdf?1772180504"", ""https://singaporebrides.com/d/system/documents/contents/000/001/675/original/10._Promotion_Wedding_Package_2027_24032026.pdf?1774333452"", ""https://singaporebrides.com/d/system/documents/contents/000/001/676/original/11._CSO_Italian_Wedding_Package_2026_25022027.pdf?1772180541"", ""https://singaporebrides.com/d/system/documents/contents/000/001/677/original/12._CSO_Indian_Wedding_Package_2026_25022027.pdf?1772180558""]",6725 3333,$2504–$3103,$2324–$3103,10–50,conrad-singapore-orchard,$2384–$3103,$2324–$3103,10–50,https://singaporebrides.com/d/conrad-singapore-orchard/,"[""https://www.youtube.com/@ConradSingaporeOrchard""]",https://www.hilton.com/en/hotels/sinodci-conrad-singapore-orchard/weddings/?WT.mc_id=zAPEC0SG1CI2OLQ3GenPartner4MayWeddingShowcase_May56SINODCI7EN8i137261
"C elebrate your wedding in a boutique hotel setting at Copthorne King’s Hotel. Create a lifetime of memories and delight your guests within an elegant yet cosy ambience paired with lavish culinary delights created and personally presided over by our Master Chef from the award-winning Tien Court Restaurant. Couples get to select up to 9 courses of their lunch or dinner celebration from an extensive interchangeable menu. There are even vegetarian options for consideration! In addition, there is a whole list of benefits and perks for the bridal couple, including a night’s stay in our Bridal Room with American breakfast for 2, wedding favours for all guests, complimentary car valet parking facilities within hotel premises... etc. Most of all, we have a dedicated team of events specialists who will ensure a hassle-free and memorable wedding celebration! Capacity: 300 Pax For more details, contact our wedding consultants today at +65 6733 0011 or Email: [email&#160;protected] .",403 Havelock Road,catering.cks@millenniumhotels.com,https://www.facebook.com/copthornekings/reviews/,$1784–$1784,$1664–$1664,15–30,https://www.instagram.com/copthornekings/,$1364–$1364,$1364–$1364,15–30,Copthorne King's Hotel Singapore,"[""https://singaporebrides.com/d/system/documents/contents/000/001/305/original/CKS_Wedding_Package_2025_and_2026.pdf?1736752086""]",6733 0011,$1784–$1784,$1664–$1664,15–30,copthorne-king-s-hotel-singapore,$1784–$1784,$1664–$1664,15–30,https://singaporebrides.com/d/copthorne-king-s-hotel-singapore/,,http://www.copthornekings.com.sg/
"C rowne Plaza Changi Airport sets the perfect stage for an unforgettable wedding. It encapsulates elements of both city and resort hotel with sleek modern lines that are unmistakably contemporary. The open walkways with luxuriant greenery and beautiful water features enables guests to enjoy the balmy tropics and the hideaway resort feel. The Chengal Ballroom is one of Singapore's most elegant column free ballroom boasting an impressive six-metre ceiling height. Furnished with tropically decorated walls and ceilings with natural lights showering the spacious pre-function area, the state-of-the-art audio visual and light equipments makes this the perfect venue for your wedding. We offer modern and contemporary venue options for intimate solemnization and lavish wedding banquets. Select from our exquisite wedding concepts that promise a truly memorable experience for you and your guests. Dreaming of a romantic wedding by the poolside? Exchange vows at the romantic and relax setting of our",75 Airport Boulevard,weddings.cpca@ihg.com,https://www.facebook.com/cpchangi/,$2024–$2374,$2024–$2374,8–30,https://www.instagram.com/cpchangiairport/,$2024–$2374,$2024–$2374,8–30,Crowne Plaza Changi Airport,"[""https://singaporebrides.com/d/system/documents/contents/000/001/714/original/Crowne_Plaza_Wedding_Package_2026_%28Chengal___Camellia%29__1618nett.pdf?1776061968"", ""https://singaporebrides.com/d/system/documents/contents/000/001/715/original/Crowne_Plaza_Wedding_Package_2027_%28Chengal___Camellia%29.pdf?1776061996"", ""https://singaporebrides.com/d/system/documents/contents/000/001/690/original/Wedding_Show_Perks_Camellia_2026_2027.pdf?1773630418"", ""https://singaporebrides.com/d/system/documents/contents/000/001/691/original/Wedding_Show_Perks_Chengal_Ballroom_2026_2027.pdf?1773630467"", ""https://singaporebrides.com/d/system/documents/contents/000/001/692/original/Malay_Wedding_Package_2026___2027.pdf?1773630490"", ""https://singaporebrides.com/d/system/documents/contents/000/001/693/original/Malay_Wedding_Show_Perks_2026_2027.pdf?1773630519""]",6823 5339,$2024–$2374,$2024–$2374,8–30,crowne-plaza-changi-airport,$2024–$2374,$2024–$2374,8–30,https://singaporebrides.com/d/crowne-plaza-changi-airport/,,http://changiairport.crowneplaza.com/
,11 Laguna Golf Green,weddingsdtls@dusit.com,,$2384–$2504,$2384–$2504,25–38,,$2384–$2504,$2384–$2504,25–38,Dusit Thani Laguna Singapore,,6841 8888,$2384–$2504,$2384–$2504,25–38,,$2384–$2504,$2384–$2504,25–38,,,
"C elebrate the start of your beautiful journey together at Fairmont Singapore and Swissôtel The Stamford, where we offer a blissful sanctuary for your special day. Our distinctive experiences are designed to create wedding memories that will last a lifetime. As every couple is unique, our wedding packages feature utmost attention to details and authentic touches tailored specifically to each couple’s needs and desires. In addition to our restaurants and bars, which are available for exclusive bookings, we proudly feature a sprawling 104,000 sqft event space. This includes three elegant ballrooms, providing a versatile and grand setting for both intimate and grandiose wedding celebrations, ensuring that your wedding day is as perfect as you've always dreamed. Click to see virtual tour for SKAI Suites and Fairmont Ballroom .",80 Bras Basah Road,weddings.singapore@fairmont.com,https://www.facebook.com/FairmontSingapore/reviews/,$2312–$2743,$2192–$2384,15–140,https://www.instagram.com/fairmontsingapore/,$2312–$2743,$2192–$2384,15–140,Fairmont Singapore and Swissôtel The Stamford,"[""https://singaporebrides.com/d/system/documents/contents/000/000/485/original/Fairmont-Singapore-Weddings-eBrochure-Packages-2026-27.pdf?1768536420"", ""https://singaporebrides.com/d/system/documents/contents/000/001/317/original/Swissotel-The-Stamford-Weddings-eBrochure-Packages-2026-27.pdf?1768536431""]",6431 5138,$2312–$2743,$2192–$2384,15–140,fairmont-singapore-and-swissotel-the-stamford,$2312–$2743,$2192–$2384,15–140,https://singaporebrides.com/d/fairmont-singapore-and-swissotel-the-stamford/,,https://bit.ly/FairmontSingaporeSwissotelTheStamfordWeddings
"Y our Dream Riverside Wedding Destination Waterfront Setting Nestled along Robertson Quay, our sophisticated wedding venue offers stunning Singapore River views and elegant alfresco ceremony spaces. The tranquil waterfront setting provides the perfect romantic backdrop for your special day, with endless opportunities for breathtaking photography. Culinary Excellence Our experienced culinary team creates exceptional dining experiences with thoughtfully crafted Chinese wedding banquet menus and diverse international buffet selections, ensuring every guest enjoys a memorable meal. Complete Wedding Support From intimate solemnisations to grand celebrations, our dedicated wedding specialists provide end-to-end planning support tailored to your unique vision. We handle every detail so you can focus on celebrating your love story with confidence and ease. Why Choose Us - Prime Robertson Quay location with river view - Flexible spaces accommodating intimate to grand celebrations - Exceptional ",382 Havelock Road,catering@fourpointssingaporeriverview.com,https://www.facebook.com/fourpointssingapore,$1784–$2024,$1784–$2024,6–25,https://www.instagram.com/fourpointssingapore/,$1724–$1964,$1724–$1964,6–25,"Four Points by Sheraton Singapore, Riverview","[""https://singaporebrides.com/d/system/documents/contents/000/001/247/original/Chinese_Wedding_Brochure_20262027_%28revised%29.pdf?1757563415"", ""https://singaporebrides.com/d/system/documents/contents/000/001/246/original/Malay_Wedding_Brochure_20262027_%28revised%29_compressed_%281%29.pdfMalay_Wedding_Brochure_20262027_%28revised%29.pdf?1757563463""]",6349 4857,$1784–$2024,$1784–$2024,6–25,four-points-by-sheraton-singapore-riverview,$1784–$2024,$1784–$2024,6–25,https://singaporebrides.com/d/four-points-by-sheraton-singapore-riverview/,,http://www.fourpointssingaporeriverview.com/
"C elebrate your love story with Four Seasons Hotel Singapore, where our wedding professionals are devoted to orchestrating personalised, perfect weddings. Four Seasons Hotel Singapore provides an elegant and uniquely residential setting for wedding celebrations complemented with impeccable service and award-winning cuisine. From invitations to wedding cakes, floral creations to memorable farewells, we believe every wedding should be as special as your love for one another. That is why our expert Wedding Maestros spare no effort in ensuring every detail is in place as you give your dream wedding wings to fly. Capacity: 50 - 300 persons For more information or enquiries, please contact our Catering team at +65 6831 7005/7112 or email [email&#160;protected] . For more information, please visit www.fourseasons.com/singapore/weddings .",190 Orchard Boulevard,catering.sin.dst@fourseasons.com,https://www.facebook.com/FourSeasonsHotelSingapore,$2734–$3093,$2734–$2854,3–30,https://www.instagram.com/fssingapore,$2734–$3093,$2734–$2854,3–30,Four Seasons Hotel Singapore,"[""https://singaporebrides.com/d/system/documents/contents/000/001/709/original/FSSIN_2026_Wedding_Lunch_Package.pdf?1774838257"", ""https://singaporebrides.com/d/system/documents/contents/000/001/710/original/FSSIN_-_2026_Wedding_Dinner_%28Mon_-_Fri%29_Package.pdf?1774838273"", ""https://singaporebrides.com/d/system/documents/contents/000/001/711/original/FSSIN_2026_Wedding_Dinner_%28Sat___Sun%29_Package.pdf?1774838295"", ""https://singaporebrides.com/d/system/documents/contents/000/001/718/original/FSSIN_-_2026_Intimate_Weddings_Package.pdf?1776392497""]",6831 7005,$2974–$3093,$2734–$2854,3–30,four-seasons-hotel-singapore,$2854–$3093,$2734–$2854,3–30,https://singaporebrides.com/d/four-seasons-hotel-singapore,"[""https://youtu.be/DB-J-Q7HrFM?si=tCmn62QjX7N7OsuP""]",https://www.fourseasons.com/singapore/weddings/
"At Frasers House, a Luxury Collection Hotel, Singapore, every wedding begins with a story - yours. Each celebration is approached as a deeply personal expression, whether envisioned as an intimate gathering shared with those closest to you or a grand occasion marked by ceremony and splendour. Guided by an experienced wedding team, every detail is thoughtfully considered; from the rhythm of the day and the atmosphere of the space to menus, décor, and moments in between, ensuring a celebration that feels entirely your own. The pillarless Grand Ballroom offers a setting of timeless elegance, recalling the grace of 1930s colonial Singapore. Beneath soaring ceilings crowned with crystal chandeliers, French windows allow natural light to illuminate richly textured walls and mirrored panels in a warm, golden palette. Spanning over 540 square metres and accommodating up to 320 guests, the ballroom is equally suited for luminous daytime celebrations and romantic evening weddings. A dramatic 10-",80 Middle Road,tlc.sinlb.weddings@luxurycollection.com,https://www.facebook.com/FrasersHouse/,$2504–$2504,$2134–$2134,16–40,https://www.instagram.com/interconsin/,$2134–$2134,$2134–$2134,16–40,"Frasers House, a Luxury Collection Hotel, Singapore","[""https://singaporebrides.com/d/system/documents/contents/000/001/449/original/2026_Sunday_Dinner_Package.pdf?1769084888"", ""https://singaporebrides.com/d/system/documents/contents/000/001/694/original/2027_Sunday_Wedding_Dinner_Package.pdf?1778052359"", ""https://singaporebrides.com/d/system/documents/contents/000/001/450/original/2026_Saturday_Dinner_Package.pdf?1769084902"", ""https://singaporebrides.com/d/system/documents/contents/000/001/695/original/2027_Saturday_Wedding_Dinner_Package.pdf?1778052372"", ""https://singaporebrides.com/d/system/documents/contents/000/001/458/original/2026_Friday_Dinner_Package.pdf?1769084929"", ""https://singaporebrides.com/d/system/documents/contents/000/001/696/original/2027_Friday_Wedding_Dinner_Package.pdf?1778052382"", ""https://singaporebrides.com/d/system/documents/contents/000/001/451/original/2026_Weekday_Lunch___Dinner_Package.pdf?1769084944"", ""https://singaporebrides.com/d/system/documents/contents/000/001/697/original/2027_Weekday_Wedding_Lunch___Dinner_Package.pdf?1778052404"", ""https://singaporebrides.com/d/system/documents/contents/000/001/452/original/2026_Weekend_Lunch_Package.pdf?1769084955"", ""https://singaporebrides.com/d/system/documents/contents/000/001/698/original/2027_Weekend_Wedding_Lunch_Package.pdf?1778052419"", ""https://singaporebrides.com/d/system/documents/contents/000/001/453/original/2026_Boutique_Package_at_Bras_Basah_Room.pdf?1769084998"", ""https://singaporebrides.com/d/system/documents/contents/000/001/699/original/2027_Boutique_Wedding_Package_at_Bras_Basah_Room.pdf?1778052432"", ""https://singaporebrides.com/d/system/documents/contents/000/001/454/original/2026_Solemnisation_Package_at_The_Library.pdf?1769085016"", ""https://singaporebrides.com/d/system/documents/contents/000/001/700/original/2027_Solemnisation_Package_at_The_Library.pdf?1778052443"", ""https://singaporebrides.com/d/system/documents/contents/000/001/457/original/2026_Solemnisation_Dinner_Package_at_Presidential_Suite.pdf?1769085028"", ""https://singaporebrides.com/d/system/documents/contents/000/001/701/original/2027_Solemnisation_Dinner_Package_at_Presidential_Suite.pdf?1778052454"", ""https://singaporebrides.com/d/system/documents/contents/000/001/448/original/2026_Boutique_Package_at_The_Vault.pdf?1769085097"", ""https://singaporebrides.com/d/system/documents/contents/000/001/702/original/2027_Boutique_Wedding_Package_at_The_Vault.pdf?1778052522"", ""https://singaporebrides.com/d/system/documents/contents/000/001/719/original/Man_Fu_Yuan_Wedding_Packages_2026.pdf?1776413634"", ""https://singaporebrides.com/d/system/documents/contents/000/001/720/original/LUCE_Wedding_Packages_2026.pdf?1776413718""]",6338 7600,$2983–$2983,$2623–$2623,22–40,frasers-house-a-luxury-collection-hotel-singapore,$2743–$2743,$2623–$2623,22–40,https://singaporebrides.com/d/frasers-house-a-luxury-collection-hotel-singapore/,,https://www.marriott.com/en-us/hotels/sinlb-frasers-house-a-luxury-collection-hotel-singapore/events/
,"21 Amber Road, Chinese Swimming Club #03-01",event@passion-restaurant.com,,$1197–$2084,$1125–$2024,12–25,,$1005–$1844,$1005–$1844,12–25,Fu Lin Men (Chinese Swimming Club),,8611 1004,$1197–$2084,$1125–$2024,12–25,,$1197–$2084,$1125–$2024,12–25,,,
,"#03-00, 181 Kitchener Road, Novotel Singapore on Kitchener",nsk@fulinmen.com.sg,,$1520–$2120,$1436–$2036,12–36,,$1161–$1760,$1161–$1760,12–36,Fu Lin Men Grandeur,,8852 9986,$1520–$2120,$1436–$2036,12–36,,$1520–$2120,$1436–$2036,12–36,,,
,"131 Rifle Range Rd, #02-03",event@passion-restaurant.com,,$1197–$2084,$1125–$2024,12–21,,$1005–$1844,$1005–$1844,12–21,Fu Lin Men (Temasek Club),,6235 5026,$1197–$2084,$1125–$2024,12–21,,$1197–$2084,$1125–$2024,12–21,,,
,60 Eu Tong Sen Street,banquet.citycentre@furama.com,,$1652–$1652,$1640–$1640,14–45,,$1652–$1652,$1640–$1640,14–45,Furama City Centre Singapore,,6531 5356,$1748–$1748,$1640–$1640,14–45,,$1652–$1652,$1640–$1640,14–45,,,
"W itness your dream wedding come to life in our beautiful ballrooms and spaces with a variety of stunning settings to bring your vision to life. Say your vows amidst the lush greenery of the Waterfall Lounge, with its floor-to-ceiling windows framing a garden fairytale and a six-metre high waterfall. For a spectacular affair, the Venus Grand Ballroom offers a pillarless space that seats over 500 guests, complete with a state-of-the-art LED screen to showcase your most cherished moments and an exclusive access to the spacious foyer for reception. For a more refined celebrations, our Mercury Ballroom is ideal with its refreshed lighting, luxurious new carpet, and serene poolside views, creating an effortlessly elegant backdrop. No matter the size or style of your celebration, Furama RiverFront offers the perfect canvas for a wedding that will enchant you and your guests forever. Make an appointment with our dedicated wedding planners to customise your dream wedding!",405 Havelock Road,banquet.riverfront@furama.com,https://www.facebook.com/furamariverfrontsingapore,$1532–$1784,$1544–$1760,10–48,https://www.instagram.com/furamariverfront/,$1532–$1784,$1544–$1760,10–48,"Furama RiverFront, Singapore","[""https://singaporebrides.com/d/system/documents/contents/000/000/878/original/A_Summer&#39;s_Dream__Wedding_Package_2026___2027.pdf?1770019684"", ""https://singaporebrides.com/d/system/documents/contents/000/001/134/original/ROM_Package-compressed.pdf?1770019695"", ""https://singaporebrides.com/d/system/documents/contents/000/000/879/original/FRF_Malay_Wedding_Package_Jun_2025.pdf?1770019730"", ""https://singaporebrides.com/d/system/documents/contents/000/000/919/original/FRF_FCC_Indian_Wedding_Package_2026.pdf?1770345237"", ""https://singaporebrides.com/d/system/documents/contents/000/001/653/original/Furama_RiverFront_-_Joy_Ever_After_Wedding_at_Apollo.pdf?1770345267""]",6739 6452,$1652–$1868,$1544–$1760,10–48,furama-riverfront-singapore,$1532–$1784,$1544–$1760,10–48,https://singaporebrides.com/d/furama-riverfront-singapore/,,http://www.furama.com/riverfront/
"T he Next West Thing Is the western part of Singapore where you grew up, fell in love, and plan to get married? Wouldn't it be wonderful to host your wedding banquet right here in the West? With the exciting developments in the Jurong Lake District, newlyweds can now celebrate their unions in this dynamic area. Since 2015, Genting Hotel Jurong has been offering wedding packages that add a special touch to your big day. Our team of experienced wedding consultants, hailing from Resorts World Sentosa, brings years of expertise in crafting memorable weddings. They will ensure every detail of your celebration is meticulously planned, from elegant floral arrangements to beautifully designed invitation cards. At Genting Hotel Jurong, enjoy an unforgettable stay in our luxurious bridal suite and treat your guests to a sumptuous 8-course Chinese dinner in the stylish Genting Ballroom, which accommodates up to 330 guests. The adjacent function rooms are perfect for tea ceremonies, while our roof",2 Town Hall Link,ghjsales@RWSentosa.com,,$1664–$1664,$1664–$1664,15–33,,$1544–$1544,$1544–$1544,15–33,Genting Hotel Jurong,"[""https://singaporebrides.com/d/system/documents/contents/000/000/053/original/MICE0212_GHJ_Wedding_Brochure_2025_to_2026.pdf?1752649567""]",6577 9530/9531,$1664–$1664,$1664–$1664,15–33,genting-hotel-jurong,$1664–$1664,$1664–$1664,15–33,https://singaporebrides.com/d/genting-hotel-jurong/,,
"S tart another chapter of your love story with an elegant wedding at Goodwood Park Hotel. The colonial opulence of this iconic heritage hotel complemented with today’s modern luxuries, impeccable service, gourmet cuisine and charming ambience, will make your nuptials a memory of a lifetime. Whether is it a lavish affair at the grand Windsor Ballroom, an intimate celebration at the classy Tudor Ballroom or a romantic solemnisation ceremony by one of the hotel’s beautiful pools, our dedicated team of catering professionals will assist you towards making your wedding dreams come true. Capacity: 180 - 380 Pax",22 Scotts Road,banquet@goodwoodparkhotel.com,https://www.facebook.com/GoodwoodParkHotel/,$2360–$2360,$2120–$2120,12–35,https://www.instagram.com/goodwoodparkhotelsg/,$2120–$2120,$2120–$2120,12–35,Goodwood Park Hotel,"[""https://singaporebrides.com/d/system/documents/contents/000/000/064/original/2023-Wedding_Factsheet.pdf?1682997416"", ""https://singaporebrides.com/d/system/documents/contents/000/001/491/original/Goodwood_Park_Hotel_-_Wedding_Package_-_01_October_2025_to_30_September_2026.pdf?1731465040""]",6730 1821,$2396–$2396,$2120–$2120,12–35,goodwood-park-hotel,$2360–$2360,$2120–$2120,12–35,https://singaporebrides.com/d/goodwood-park-hotel/,,"http://www.goodwoodparkhotel.com/meetings/singapore-,weddings-en.html"
